scenario,method,instance,rmse,topk_jaccard,rank_tau,stability,fidelity_r2,spurious_mass,causal_gap,counterfactual_validity,runtime_ms,ci_coverage
SparseAdd,LIME-R,0,0.03562973568489499,1.0,0.7188507574477846,1.0,0.9952002475748459,0.0029184952938754363,0.3500935252214059,0.9999999762317459,0.26614998932927847,
SparseAdd,LIME-R,1,0.03404060713475344,1.0,0.7587869106393282,1.0,0.9985444500085445,0.001688041398336717,2.2750821878382794,0.9999999968765054,0.20309991668909788,
SparseAdd,LIME-R,2,0.04556859827288633,1.0,0.678914604256241,1.0,0.9949283920980301,0.0024181209539983397,0.40975756027333987,0.9999999880362197,0.19275001250207424,
SparseAdd,LIME-R,3,0.036484750580983064,1.0,0.7188507574477846,1.0,0.9945574631068188,0.0047024629043610836,0.3402909476379917,0.9999999932132769,0.19907497335225344,
SparseAdd,LIME-R,4,0.03455240063736886,1.0,0.7587869106393282,1.0,0.9975363579956789,0.002235650054312946,0.6782028609986229,0.9999999962926716,0.19240006804466248,
SparseAdd,LIME-R,5,0.03385906795328444,1.0,0.7587869106393282,1.0,0.9957781230298928,0.0011203449488159337,0.8606666461872073,0.9999999966731198,0.19185006385669112,
SparseAdd,LIME-R,6,0.03718054781283975,1.0,0.7587869106393282,1.0,0.9975530660434246,0.0009640152190266878,2.076266004792828,0.9999999963292343,0.1876999158412218,
SparseAdd,LIME-R,7,0.042136534161779426,1.0,0.7587869106393282,1.0,0.9980205159619113,0.0014038458276787063,1.3013027532249493,0.9999999839079601,0.189474958460778,
SparseAdd,LIME-R,8,0.042778921696908924,1.0,0.7587869106393282,0.7999999999999999,0.9965690266287277,0.002376821780213811,0.580770324324748,0.9999999887710538,0.34200004301965237,
SparseAdd,LIME-R,9,0.037840149072588376,1.0,0.7587869106393282,1.0,0.9970474135430558,0.003691077756040681,0.355758887345851,0.9999999904597082,0.31622505048289895,
SparseAdd,LIME-R,10,0.047945466188893913,1.0,0.7587869106393282,1.0,0.9959103049680922,0.0014453721995242475,0.6321769219280251,0.9999999952805113,0.2378250937908888,
SparseAdd,LIME-R,11,0.03339585423740781,1.0,0.7587869106393282,1.0,0.9969954977402962,0.00716818944078081,0.47255192133467083,0.9999999945243647,0.1970999874174595,
SparseAdd,KernelSHAP,0,0.02236814198457037,1.0,0.7188507574477846,1.0,0.9914541558828782,0.004098917294500047,0.33732562066476224,0.9999999762317459,0.12787501327693462,
SparseAdd,KernelSHAP,1,0.13720103924739163,1.0,0.7587869106393282,1.0,0.9944551113966079,0.00788592420579487,2.0813095081107393,0.9999999968765054,0.1155249192379415,
SparseAdd,KernelSHAP,2,0.053583983287646436,1.0,0.7188507574477846,1.0,0.9943643580038013,0.007137927219155491,0.3901111969614612,0.9999999880362197,0.104525126516819,
SparseAdd,KernelSHAP,3,0.02858276271308832,1.0,0.7587869106393282,1.0,0.9959604090143629,0.01459504214789827,0.3404928421432517,0.9999999932132769,0.12387492461130023,
SparseAdd,KernelSHAP,4,0.05831502490586676,1.0,0.7587869106393282,1.0,0.9953795301759261,0.010363880294866205,0.6306816779205391,0.9999999962926716,0.12324994895607233,
SparseAdd,KernelSHAP,5,0.06551390449012592,1.0,0.7587869106393282,1.0,0.9964554245709991,0.01518258774857609,0.773537263413969,0.9999999966731198,0.13067497638985515,
SparseAdd,KernelSHAP,6,0.11210913655684339,1.0,0.7587869106393282,1.0,0.9961508729731632,0.00544621550005541,1.9281712310169483,0.9999999963292343,0.11037499643862247,
SparseAdd,KernelSHAP,7,0.04030803487380319,1.0,0.7587869106393282,1.0,0.9945087022048997,0.0048915940933287605,1.2173488676977504,0.9999999839079601,0.112100038677454,
